site_ID,study,dec_is,inc_is,dip_direction,dip,dec_tc,inc_tc,a_95,n,lat,lon,vgp_lat,vgp_lon,kappa,member,location
LST1,Diehl1994a,281.8,38.5,22,24,301.3,38.7,3.8,9,47.43,-87.71,36.9,175.8,184.7,Middle LST,Eastern sites
LST2,Diehl1994a,283.5,38,22,24,302.5,37.6,4.8,7,47.43,-87.71,37.1,173.2,162.8,Middle LST,Eastern sites
LST3,Diehl1994a,284.1,37.3,22,24,302.5,36.7,2.4,7,47.43,-87.71,36.7,172.6,620.2,Middle LST,Eastern sites
LST4,Diehl1994a,281.9,36.4,22,24,300.1,36.8,2.1,8,47.43,-87.71,35.2,174.6,681.1,Middle LST,Eastern sites
LST5,Diehl1994a,284.8,35.4,22,24,302,34.8,2.4,7,47.43,-87.71,35.5,171.9,630,Middle LST,Eastern sites
LST6,Diehl1994a,283.3,35,22,24,300.4,35.1,3.4,9,47.43,-87.71,34.6,173.4,228.2,Middle LST,Eastern sites
LST7,Diehl1994a,278.7,33.5,22,24,295.5,35.6,2,10,47.43,-87.71,31.5,177.6,581.8,Middle LST,Eastern sites
LST8,Diehl1994a,282.6,34.8,22,24,299.7,35.2,3.9,8,47.43,-87.71,34.1,174.0,207.3,Middle LST,Eastern sites
LST9,Diehl1994a,283.3,26.6,22,24,295.8,27.6,3.9,8,47.43,-87.71,28.1,173.2,206.4,Middle LST,Eastern sites
LST10,Diehl1994a,286,31.3,22,24,300.7,30.7,2.1,7,47.43,-87.71,32.7,170.8,863.3,Middle LST,Eastern sites
LST11,Diehl1994a,281.3,18.2,22,24,289.9,20.9,3.1,7,47.43,-87.71,21.4,174.9,379.3,Middle LST,Eastern sites
LST13,Diehl1994a,266.3,35.5,22,24,285.3,42.4,4.5,8,47.43,-87.71,27.9,189.1,155.4,Middle LST,Eastern sites
LST16,Diehl1994a,261,33.3,22,24,278.7,42.6,2.7,9,47.43,-87.71,23.6,193.7,358.8,Middle LST,Eastern sites
LST17,Diehl1994a,260.4,34.5,22,24,278.9,43.9,3.3,8,47.43,-87.71,24.4,194.4,292,Middle LST,Eastern sites
LST19,Diehl1994a,265.5,32.3,22,24,282.5,39.9,3.1,8,47.43,-87.71,24.8,189.5,331.1,Middle LST,Eastern sites
LST23,Diehl1994a,260,32.1,22,24,276.9,41.9,2,8,47.43,-87.71,22.1,194.5,786,Middle LST,Eastern sites
LST26,Diehl1994a,256.1,30.4,22,24,271.9,41.9,5.5,8,47.43,-87.71,18.8,197.9,103.5,Middle LST,Eastern sites
LST28,Diehl1994a,,,,,276.4,32.4,3.9,8,47.43,-87.71,17.1,189.9,207.2,Middle LST,Eastern sites
LST29,Diehl1994a,260.8,29.7,22,24,276.2,39.5,2.1,9,47.43,-87.71,20.4,193.6,592.9,Middle LST,Eastern sites
LST31,Diehl1994a,258.8,29.6,22,24,274.2,40.2,3.9,8,47.43,-87.71,19.4,195.4,208.3,Middle LST,Eastern sites
Lt 1,Diehl1994a,295.5,37.9,298,29,295.4,12.9,2.4,7,47.3,-88.45,21.9,166.8,656.2,Middle LST,Western sites
Lt 2,Diehl1994a,277.1,46.4,298,29,281.8,22.3,3.4,7,47.3,-88.45,16.5,180.9,321.6,Middle LST,Western sites
OT1,Diehl1994a,278.8,33.1,295,25,281.3,8.9,6.1,8,47.34,-88.45,10.9,176.3,83.6,Outer LST,
OT2,Diehl1994a,,,295,25,275.4,3.9,5.8,7,47.34,-88.45,5.1,178.9,109,Outer LST,
OT3,Diehl1994a,,,295,25,275.3,1.5,4.2,7,47.34,-88.45,4.1,178.2,206.6,Outer LST,
OT4,Diehl1994a,,,295,25,278.4,3.6,6.4,6,47.34,-88.45,7.0,176.6,109.7,Outer LST,
OT5,Diehl1994a,,,295,25,276.5,4.7,3,7,47.34,-88.45,6.1,178.3,394.1,Outer LST,
OT6,Diehl1994a,,,295,25,275.9,2.9,4.5,7,47.34,-88.45,5.1,178.2,182.8,Outer LST,
OT7,Diehl1994a,281.7,34.7,295,25,283.9,10.2,5.8,9,47.34,-88.45,13.2,174.8,83.6,Outer LST,
OT8,Diehl1994a,272.8,29.2,295,25,275.6,5.8,2.1,7,47.34,-88.45,5.9,179.4,863.3,Outer LST,