zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z2      ,1083.129078,0.727208919,1087.402693,2.556847359,0.641349188,0.411226891,no
z3      ,1076.660867,0.674092881,1088.182094,3.714686335,0.528790016,1.075715526,no
z4      ,1077.776853,0.836190479,1087.503151,3.629113768,0.536062072,0.911902933,no
z6      ,1084.226424,1.530109874,1094.194945,13.05749671,0.345971955,0.928027095,yes
z7      ,1089.13797,2.091226565,1093.950615,16.86817412,0.347168218,0.456649592,no
z8      ,1083.873962,0.76633578,1091.029495,6.787469683,0.392789065,0.672796122,yes
z9      ,1084.344064,0.311309412,1087.629383,1.743749026,0.421255115,0.319838687,yes
z10     ,1084.735324,1.048717587,1092.119258,14.76650907,0.31573937,0.693437712,yes
z11     ,1084.506762,0.333916962,1086.674509,1.925162006,0.394973297,0.216491253,yes
z12     ,1083.953673,0.667725975,1085.450229,2.945029292,0.477604228,0.155778841,yes